"Probe_IDs"	"Symbols"	"Entrez_IDs"	"CHR"	"Ensembl_IDs"	"Start.Pos"	"End.Pos"
"2264"	"ILMN_1691458"	"SYPL1"	"6856"	"7"	"ENSG00000008282"	"106090503"	"106112576"
"2265"	"ILMN_1691466"	"YES1"	"7525"	"18"	"ENSG00000176105"	"721588"	"812546"
"2266"	"ILMN_1691476"	"MYLK"	"4638"	"3"	"ENSG00000065534"	"123610049"	"123884331"
"2267"	"ILMN_1691487"	"TRAF2"	"7186"	"9"	"ENSG00000127191"	"136881912"	"136926607"
"2268"	"ILMN_1691499"	"TJP1"	"7082"	"15"	"ENSG00000104067"	"29699367"	"29968865"
"2269"	"ILMN_1691535"	"CUL4B"	"8450"	"X"	"ENSG00000158290"	"120523858"	"120575794"
"2270"	"ILMN_1691559"	"ELF2"	"1998"	"4"	"ENSG00000109381"	"139028112"	"139177218"
"2271"	"ILMN_1691566"	"CCDC140"	NA	"2"	"ENSG00000163081"	"222298147"	"222305217"
"2272"	"ILMN_1691570"	"METTL5"	"29081"	"2"	"ENSG00000138382"	"169810081"	"169824931"
"2273"	"ILMN_1691572"	"TST"	"7263"	"22"	"ENSG00000128311"	"37010859"	"37020183"
"2274"	"ILMN_1691575"	"SNX2"	"6643"	"5"	"ENSG00000205302"	"122775079"	"122834543"
"2275"	"ILMN_1691717"	"RHBDF2"	"79651"	"17"	"ENSG00000129667"	"76470891"	"76501790"
"2276"	"ILMN_1691731"	"PARP14"	"54625"	"3"	"ENSG00000173193"	"122680839"	"122730840"
"2277"	"ILMN_1691736"	"ST6GALNAC6"	"30815"	"9"	"ENSG00000160408"	"127885321"	"127905408"
"2278"	"ILMN_1691743"	"GJD3"	"125111"	"17"	"ENSG00000183153"	"40360652"	"40364737"
"2279"	"ILMN_1691757"	"C2CD3"	"26005"	"11"	"ENSG00000168014"	"74012714"	"74171210"
"2280"	"ILMN_1691760"	"DENND10"	"404636"	"10"	"ENSG00000119979"	"119104086"	"119137984"
"2281"	"ILMN_1691772"	"ZSCAN29"	"146050"	"15"	"ENSG00000140265"	"43358172"	"43371025"
"2282"	"ILMN_1691789"	"SMNDC1"	"10285"	"10"	"ENSG00000119953"	"110290730"	"110304938"
"2283"	"ILMN_1691790"	"DACT2"	"168002"	"6"	"ENSG00000164488"	"168292830"	"168319777"
"2284"	"ILMN_1691798"	"ZNF26"	"7574"	"12"	"ENSG00000198393"	"132986365"	"133032952"
"2285"	"ILMN_1691809"	"PSMA1"	"5682"	"11"	"ENSG00000129084"	"14504874"	"14643635"
"2286"	"ILMN_1691843"	"RNPS1"	"10921"	"16"	"ENSG00000205937"	"2253116"	"2268397"
"2287"	"ILMN_1691855"	"CACNA1B"	"774"	"9"	"ENSG00000148408"	"137877782"	"138124624"
"2288"	"ILMN_1691884"	"STC2"	"8614"	"5"	"ENSG00000113739"	"173314713"	"173329503"
"2289"	"ILMN_1691926"	"HSD17B10"	"3028"	"X"	"ENSG00000072506"	"53431258"	"53434370"
"2290"	"ILMN_1691927"	"BTBD1"	"53339"	"15"	"ENSG00000064726"	"83016423"	"83067252"
"2291"	"ILMN_1691930"	"CBX6"	"23466"	"22"	"ENSG00000183741"	"38861422"	"38872249"
"2292"	"ILMN_1691937"	"CSH2"	"1443"	"17"	"ENSG00000213218"	"63872012"	"63873766"
"2293"	"ILMN_1691942"	"CCNI"	"10983"	"4"	"ENSG00000118816"	"77047155"	"77075989"
"2294"	"ILMN_1692020"	"PRSS16"	"10279"	"6"	"ENSG00000112812"	"27247701"	"27256624"
"2295"	"ILMN_1692049"	"SLC7A6OS"	"84138"	"16"	"ENSG00000103061"	"68284503"	"68310946"
"2296"	"ILMN_1692056"	"HS3ST3A1"	"9955"	"17"	"ENSG00000153976"	"13494032"	"13601929"
"2297"	"ILMN_1692058"	"NDN"	"4692"	"15"	"ENSG00000182636"	"23685400"	"23687305"
"2298"	"ILMN_1692100"	"ZNF35"	"7584"	"3"	"ENSG00000169981"	"44648732"	"44660791"
"2299"	"ILMN_1692121"	"USO1"	"8615"	"4"	"ENSG00000138768"	"75724593"	"75814286"
"2300"	"ILMN_1692133"	"ZNF226"	"7769"	"19"	"ENSG00000167380"	"44165073"	"44178381"
"2301"	"ILMN_1692163"	"NSDHL"	"50814"	"X"	"ENSG00000147383"	"152830967"	"152869729"
"2302"	"ILMN_1692168"	"UBE2Z"	"65264"	"17"	"ENSG00000159202"	"48908407"	"48929056"
"2303"	"ILMN_1692177"	"TSC22D1"	"8848"	"13"	"ENSG00000102804"	"44432143"	"44577147"
"2304"	"ILMN_1692191"	"GNA12"	"2768"	"7"	"ENSG00000146535"	"2728105"	"2844308"
"2305"	"ILMN_1692219"	"RAB11FIP1"	"80223"	"8"	"ENSG00000156675"	"37858618"	"37899497"
"2306"	"ILMN_1692223"	"LCN2"	"3934"	"9"	"ENSG00000148346"	"128149071"	"128153453"
"2307"	"ILMN_1692267"	"B4GALT3"	"8703"	"1"	"ENSG00000158850"	"161171310"	"161177968"
"2308"	"ILMN_1692272"	"TEX261"	"113419"	"2"	"ENSG00000144043"	"70985942"	"70994873"
"2309"	"ILMN_1692276"	"GGPS1"	"9453"	"1"	"ENSG00000152904"	"235327350"	"235344532"
"2310"	"ILMN_1692295"	"MYO1G"	"64005"	"7"	"ENSG00000136286"	"44962662"	"44979088"
"2311"	"ILMN_1692352"	"IRAK4"	"51135"	"12"	"ENSG00000198001"	"43758944"	"43789543"
"2312"	"ILMN_1692390"	"CCNT1"	"904"	"12"	"ENSG00000129315"	"48688458"	"48716998"
"2313"	"ILMN_1692394"	"MINAR1"	"23251"	"15"	"ENSG00000169330"	"79432336"	"79472304"
"2314"	"ILMN_1692413"	"NMNAT1"	"64802"	"1"	"ENSG00000173614"	"9943428"	"9985501"
"2315"	"ILMN_1692473"	"PRMT1"	"3276"	"19"	"ENSG00000126457"	"49675786"	"49689029"
"2316"	"ILMN_1692486"	"ZNRD1"	"30834"	"6"	"ENSG00000066379"	"30058899"	"30064909"
"2317"	"ILMN_1692511"	"TMEM106C"	"79022"	"12"	"ENSG00000134291"	"47963569"	"47968878"
"2318"	"ILMN_1692535"	"DPP4"	"1803"	"2"	"ENSG00000197635"	"161992245"	"162074215"
"2319"	"ILMN_1692539"	"SH3BP1"	"23616"	"22"	"ENSG00000100092"	"37634654"	"37656119"
"2320"	"ILMN_1692575"	"SFSWAP"	"6433"	"12"	"ENSG00000061936"	"131711081"	"131799737"
"2321"	"ILMN_1692620"	"ZNF263"	"10127"	"16"	"ENSG00000006194"	"3263800"	"3301401"
"2322"	"ILMN_1692623"	"ADGRL3"	"23284"	"4"	"ENSG00000150471"	"61201258"	"62078335"
"2323"	"ILMN_1692651"	"PHB"	"5245"	"17"	"ENSG00000167085"	"49404049"	"49414905"
"2324"	"ILMN_1692664"	"PRR5"	"55615"	"22"	"ENSG00000186654"	"44668547"	"44737681"
"2325"	"ILMN_1692684"	"SMARCD2"	"6603"	"17"	"ENSG00000108604"	"63832081"	"63843065"
"2326"	"ILMN_1692706"	"DCUN1D2"	"55208"	"13"	"ENSG00000150401"	"113455819"	"113490951"
"2327"	"ILMN_1692707"	"PTRHD1"	"391356"	"2"	"ENSG00000184924"	"24789734"	"24793382"
"2328"	"ILMN_1692731"	"TTYH3"	"80727"	"7"	"ENSG00000136295"	"2631986"	"2664802"
"2329"	"ILMN_1692754"	"VMP1"	"81671"	"17"	"ENSG00000062716"	"59707192"	"59842255"
"2330"	"ILMN_1692760"	"DPAGT1"	"1798"	"11"	"ENSG00000172269"	"119096503"	"119108331"
"2331"	"ILMN_1692790"	"ITGB3BP"	"23421"	"1"	"ENSG00000142856"	"63440770"	"63593721"
"2332"	"ILMN_1692826"	"UNKL"	"64718"	"16"	"ENSG00000059145"	"1363205"	"1414751"
"2333"	"ILMN_1692834"	"SWT1"	"54823"	"1"	"ENSG00000116668"	"185157080"	"185291781"
"2334"	"ILMN_1692844"	"TBC1D19"	"55296"	"4"	"ENSG00000109680"	"26576437"	"26756223"
"2335"	"ILMN_1692864"	"PDLIM5"	"10611"	"4"	"ENSG00000163110"	"94451857"	"94668227"
"2336"	"ILMN_1692865"	"VPS37D"	"155382"	"7"	"ENSG00000176428"	"73667831"	"73672112"
"2337"	"ILMN_1692896"	"JMJD4"	"65094"	"1"	"ENSG00000081692"	"227730425"	"227735411"
"2338"	"ILMN_1692936"	"OVOL1"	"5017"	"11"	"ENSG00000172818"	"65787063"	"65797214"
"2339"	"ILMN_1692938"	"PSAT1"	"29968"	"9"	"ENSG00000135069"	"78297125"	"78330093"
"2340"	"ILMN_1692962"	"CTDSP2"	"10106"	"12"	"ENSG00000175215"	"57819927"	"57846729"
"2341"	"ILMN_1693004"	"SOGA1"	"140710"	"20"	"ENSG00000149639"	"36777447"	"36863538"
"2342"	"ILMN_1693009"	"FGL2"	"10875"	"7"	"ENSG00000127951"	"77193369"	"77199848"
"2343"	"ILMN_1693014"	"CEBPB"	"1051"	"20"	"ENSG00000172216"	"50190830"	"50192668"
"2344"	"ILMN_1693039"	"ZFPL1"	"7542"	"11"	"ENSG00000162300"	"65084210"	"65088398"
"2345"	"ILMN_1693045"	"TMED1"	"11018"	"19"	"ENSG00000099203"	"10832067"	"10836318"
"2346"	"ILMN_1693060"	"VEGFA"	"7422"	"6"	"ENSG00000112715"	"43770184"	"43786487"
"2347"	"ILMN_1693072"	"ELAC1"	"55520"	"18"	"ENSG00000141642"	"50967991"	"50988121"
"2348"	"ILMN_1693090"	"CROT"	"54677"	"7"	"ENSG00000005469"	"87345664"	"87399794"
"2349"	"ILMN_1693107"	"MLH3"	"27030"	"14"	"ENSG00000119684"	"75013764"	"75051532"
"2350"	"ILMN_1693136"	"VTI1B"	"10490"	"14"	"ENSG00000100568"	"67647085"	"67674820"
"2351"	"ILMN_1693145"	"BUB3"	"9184"	"10"	"ENSG00000154473"	"123154402"	"123170467"
"2352"	"ILMN_1693192"	"PI3"	"5266"	"20"	"ENSG00000124102"	"45174902"	"45176544"
"2353"	"ILMN_1693210"	"NSMCE2"	"286053"	"8"	"ENSG00000156831"	"125091679"	"125367120"
"2354"	"ILMN_1693226"	"SMIM12"	"113444"	"1"	"ENSG00000163866"	"34712737"	"34859755"
"2355"	"ILMN_1693233"	"KIAA0513"	"9764"	"16"	"ENSG00000135709"	"85027751"	"85094230"
"2356"	"ILMN_1693270"	"SUSD2"	"56241"	"22"	"ENSG00000099994"	"24181487"	"24189106"
"2357"	"ILMN_1693290"	"METTL16"	"79066"	"17"	"ENSG00000127804"	"2405562"	"2511891"
"2358"	"ILMN_1693311"	"TMBIM6"	"7009"	"12"	"ENSG00000139644"	"49707725"	"49764934"
"2359"	"ILMN_1693317"	"TRAPPC12"	"51112"	"CHR_HSCHR2_1_CTG1"	"ENSG00000274891"	"3401777"	"3486461"
"2360"	"ILMN_1693334"	"P4HA1"	"5033"	"10"	"ENSG00000122884"	"73007217"	"73096974"
"2361"	"ILMN_1693338"	"CYP1B1"	"1545"	"2"	"ENSG00000138061"	"38066973"	"38109902"
"2362"	"ILMN_1693340"	"LRRC45"	"201255"	"17"	"ENSG00000169683"	"82023305"	"82031151"
"2363"	"ILMN_1693394"	"BCKDK"	"10295"	"16"	"ENSG00000103507"	"31106107"	"31112791"
"2364"	"ILMN_1693397"	"PSG4"	"5672"	"19"	"ENSG00000243137"	"43192702"	"43207299"
"2365"	"ILMN_1693401"	"KLHL28"	"54813"	"14"	"ENSG00000179454"	"44924324"	"45042322"
"2366"	"ILMN_1693421"	"RPN2"	"6185"	"20"	"ENSG00000118705"	"37178410"	"37241619"
"2367"	"ILMN_1693431"	"LACC1"	"144811"	"13"	"ENSG00000179630"	"43879284"	"43893932"
"2368"	"ILMN_1693438"	"FBXL12"	"54850"	"19"	"ENSG00000127452"	"9810267"	"9827816"
"2369"	"ILMN_1693452"	"GAL3ST4"	"79690"	"7"	"ENSG00000197093"	"100159244"	"100168617"
"2370"	"ILMN_1693471"	"KLHL35"	"283212"	"11"	"ENSG00000149243"	"75422394"	"75430629"
"2371"	"ILMN_1693490"	"SEC11A"	"23478"	"15"	"ENSG00000140612"	"84669538"	"84716460"
"2372"	"ILMN_1693515"	"EGFL8"	"80864"	"CHR_HSCHR6_MHC_MCF_CTG1"	"ENSG00000240592"	"32241011"	"32244709"
"2373"	"ILMN_1693530"	"PSG3"	"5671"	"19"	"ENSG00000221826"	"42721638"	"42740481"
"2374"	"ILMN_1693538"	"STK36"	"27148"	"2"	"ENSG00000163482"	"218672069"	"218702716"
"2375"	"ILMN_1693552"	"CD300A"	"11314"	"17"	"ENSG00000167851"	"74466399"	"74484794"
"2376"	"ILMN_1693604"	"GRM2"	"2912"	"3"	"ENSG00000164082"	"51707068"	"51718613"
"2377"	"ILMN_1693630"	"VPS9D1"	"9605"	"16"	"ENSG00000075399"	"89707134"	"89720898"
"2378"	"ILMN_1693650"	"FES"	"2242"	"15"	"ENSG00000182511"	"90883695"	"90895776"
"2379"	"ILMN_1693664"	"POMGNT1"	"55624"	"1"	"ENSG00000085998"	"46188682"	"46220305"
"2380"	"ILMN_1693668"	"WAPL"	"23063"	"10"	"ENSG00000062650"	"86435256"	"86521792"
"2381"	"ILMN_1693669"	"WRAP53"	"55135"	"17"	"ENSG00000141499"	"7686071"	"7703502"
"2382"	"ILMN_1693685"	"MTLN"	"205251"	"2"	"ENSG00000175701"	"110211529"	"110245420"
"2383"	"ILMN_1693726"	"TBC1D10A"	"83874"	"22"	"ENSG00000099992"	"30291990"	"30326947"
"2384"	"ILMN_1693766"	"CEP135"	"9662"	"4"	"ENSG00000174799"	"55948871"	"56033361"
"2385"	"ILMN_1693771"	"ASPH"	"444"	"8"	"ENSG00000198363"	"61500556"	"61714640"
"2386"	"ILMN_1693788"	"ZNF432"	"9668"	"19"	"ENSG00000256087"	"52031378"	"52095738"
"2387"	"ILMN_1693789"	"ALPP"	"250"	"2"	"ENSG00000163283"	"232378724"	"232382889"
"2388"	"ILMN_1693826"	"HAVCR2"	"84868"	"5"	"ENSG00000135077"	"157085832"	"157142869"
"2389"	"ILMN_1693830"	"LACTB"	"114294"	"15"	"ENSG00000103642"	"63121833"	"63142061"
"2390"	"ILMN_1693862"	"C8orf82"	"414919"	"8"	"ENSG00000213563"	"144525733"	"144529132"
"2391"	"ILMN_1693878"	"GMPPA"	"29926"	"2"	"ENSG00000144591"	"219498884"	"219506989"
"2392"	"ILMN_1693882"	"TAPT1"	"202018"	"4"	"ENSG00000169762"	"16160505"	"16227410"
"2393"	"ILMN_1693896"	"ATP8A2"	"51761"	"13"	"ENSG00000132932"	"25371974"	"26025851"
"2394"	"ILMN_1693905"	"HAT1"	"8520"	"2"	"ENSG00000128708"	"171922448"	"171983686"
"2395"	"ILMN_1693981"	"SH3TC2"	"79628"	"5"	"ENSG00000169247"	"148923639"	"149063163"
"2396"	"ILMN_1694011"	"WNT2"	"7472"	"7"	"ENSG00000105989"	"117275451"	"117323152"
"2397"	"ILMN_1694027"	"SESN3"	"143686"	"11"	"ENSG00000149212"	"95165513"	"95232541"
"2398"	"ILMN_1694034"	"LGALS4"	"3960"	"19"	"ENSG00000171747"	"38801671"	"38812945"
"2399"	"ILMN_1694041"	"PDCL"	"5082"	"9"	"ENSG00000136940"	"122798389"	"122828588"
"2400"	"ILMN_1694057"	"EIF3K"	"27335"	"19"	"ENSG00000178982"	"38619082"	"38636955"
"2401"	"ILMN_1694070"	"FAM114A1"	"92689"	"4"	"ENSG00000197712"	"38867677"	"38945739"
"2402"	"ILMN_1694084"	"CYTH1"	"9267"	"17"	"ENSG00000108669"	"78674048"	"78782297"
"2403"	"ILMN_1694100"	"PRIM2"	"5558"	"6"	"ENSG00000146143"	"57314805"	"57646850"
"2404"	"ILMN_1694106"	"GPD1L"	"23171"	"3"	"ENSG00000152642"	"32105689"	"32168709"
"2405"	"ILMN_1694111"	"PNKP"	"11284"	"19"	"ENSG00000039650"	"49859882"	"49878351"
"2406"	"ILMN_1694140"	"AFAP1L1"	"134265"	"5"	"ENSG00000157510"	"149271859"	"149343637"
"2407"	"ILMN_1694174"	"TRIM68"	"55128"	"11"	"ENSG00000167333"	"4598672"	"4608231"
"2408"	"ILMN_1694177"	"PCNA"	"5111"	"20"	"ENSG00000132646"	"5114953"	"5126626"
"2409"	"ILMN_1694194"	"SCAF1"	"58506"	"19"	"ENSG00000126461"	"49642209"	"49658642"
"2410"	"ILMN_1694213"	"PLEKHO1"	"51177"	"1"	"ENSG00000023902"	"150149183"	"150164720"
"2411"	"ILMN_1694219"	"ARIH1"	"25820"	"15"	"ENSG00000166233"	"72474330"	"72602987"
"2412"	"ILMN_1694223"	"DGCR8"	"54487"	"22"	"ENSG00000128191"	"20080232"	"20111877"
"2413"	"ILMN_1694233"	"ACYP1"	"97"	"14"	"ENSG00000119640"	"75053237"	"75069483"
"2414"	"ILMN_1694240"	"MAP2K1"	"5604"	"15"	"ENSG00000169032"	"66386837"	"66491544"
"2415"	"ILMN_1694269"	"CCDC93"	"54520"	"2"	"ENSG00000125633"	"117915478"	"118014133"
"2416"	"ILMN_1694274"	"NDUFC2"	"4718"	"11"	"ENSG00000151366"	"78068297"	"78079862"
"2417"	"ILMN_1694323"	"GLE1"	"2733"	"9"	"ENSG00000119392"	"128504719"	"128542288"
"2418"	"ILMN_1694325"	"NFIX"	"4784"	"19"	"ENSG00000008441"	"12995608"	"13098796"
"2419"	"ILMN_1694385"	"YWHAB"	"7529"	"20"	"ENSG00000166913"	"44885702"	"44908532"
"2420"	"ILMN_1694398"	"EIF3F"	"8665"	"11"	"ENSG00000175390"	"7970251"	"8001862"
"2421"	"ILMN_1694432"	"CRIP2"	"1397"	"14"	"ENSG00000182809"	"105472962"	"105480162"
"2422"	"ILMN_1694466"	"ZBED1"	"9189"	"X"	"ENSG00000214717"	"2486414"	"2500976"
"2423"	"ILMN_1694476"	"HMBS"	"3145"	"11"	"ENSG00000256269"	"119084866"	"119093549"
"2424"	"ILMN_1694479"	"WDR18"	"57418"	"19"	"ENSG00000065268"	"984332"	"998438"
"2425"	"ILMN_1694482"	"CELSR1"	"9620"	"22"	"ENSG00000075275"	"46360834"	"46537600"
"2426"	"ILMN_1694491"	"CCNG1"	"900"	"5"	"ENSG00000113328"	"163437569"	"163446151"
"2427"	"ILMN_1694504"	"RNF220"	"55182"	"1"	"ENSG00000187147"	"44405194"	"44651724"
"2428"	"ILMN_1694530"	"DDA1"	"79016"	"19"	"ENSG00000130311"	"17309518"	"17323298"
"2429"	"ILMN_1694533"	"RMND1"	"55005"	"6"	"ENSG00000155906"	"151404762"	"151452158"
"2430"	"ILMN_1694539"	"MAP3K6"	"9064"	"1"	"ENSG00000142733"	"27354067"	"27366961"
"2431"	"ILMN_1694548"	"ANXA3"	"306"	"4"	"ENSG00000138772"	"78551747"	"78610451"
"2432"	"ILMN_1694588"	"C4BPB"	"725"	"1"	"ENSG00000123843"	"207088860"	"207099993"
"2433"	"ILMN_1694589"	"PAQR8"	"85315"	"6"	"ENSG00000170915"	"52361421"	"52407777"
"2434"	"ILMN_1694603"	"SMARCC1"	"6599"	"3"	"ENSG00000173473"	"47585269"	"47782106"
"2435"	"ILMN_1694608"	"C1QTNF1"	"114897"	"17"	"ENSG00000173918"	"79022814"	"79049788"
"2436"	"ILMN_1694671"	"ZFAND2A"	"90637"	"7"	"ENSG00000178381"	"1152071"	"1160759"
"2437"	"ILMN_1694711"	"MAD2L1BP"	"9587"	"6"	"ENSG00000124688"	"43629540"	"43640952"
"2438"	"ILMN_1694731"	"CCDC154"	"645811"	"16"	"ENSG00000197599"	"1434383"	"1444556"
"2439"	"ILMN_1694742"	"RPS29"	"6235"	"14"	"ENSG00000213741"	"49570984"	"49599164"
"2440"	"ILMN_1694757"	"CTSL"	"1514"	"9"	"ENSG00000135047"	"87726109"	"87731469"
"2441"	"ILMN_1694759"	"SMIM7"	"79086"	"19"	"ENSG00000214046"	"16630751"	"16660442"
"2442"	"ILMN_1694776"	"SCP2"	"6342"	"1"	"ENSG00000116171"	"52927276"	"53051698"
"2443"	"ILMN_1694780"	"GCHFR"	"2644"	"15"	"ENSG00000137880"	"40764068"	"40767708"
"2444"	"ILMN_1694840"	"MATN2"	"4147"	"8"	"ENSG00000132561"	"97868840"	"98036724"
"2445"	"ILMN_1694847"	"TERF1"	"7013"	"8"	"ENSG00000147601"	"73008864"	"73048123"
"2446"	"ILMN_1694877"	"CASP6"	"839"	"4"	"ENSG00000138794"	"109688622"	"109703583"
"2447"	"ILMN_1694888"	"TAF2"	"6873"	"8"	"ENSG00000064313"	"119730774"	"119832841"
"2448"	"ILMN_1694890"	"HAUS7"	"55559"	"X"	"ENSG00000213397"	"153447666"	"153495516"
"2449"	"ILMN_1694923"	"PTPN9"	"5780"	"15"	"ENSG00000169410"	"75463251"	"75579315"
"2450"	"ILMN_1694950"	"MRPL28"	"10573"	"16"	"ENSG00000086504"	"366969"	"371289"
"2451"	"ILMN_1694980"	"NAGLU"	"4669"	"17"	"ENSG00000108784"	"42536241"	"42544449"
"2452"	"ILMN_1694983"	"DDX20"	"11218"	"1"	"ENSG00000064703"	"111755245"	"111768000"
"2453"	"ILMN_1695020"	"NEK3"	"4752"	"13"	"ENSG00000136098"	"52132639"	"52159861"
"2454"	"ILMN_1695036"	"TPPP3"	"51673"	"16"	"ENSG00000159713"	"67389809"	"67393518"
"2455"	"ILMN_1695079"	"ZNF101"	"94039"	"19"	"ENSG00000181896"	"19668796"	"19683509"
"2456"	"ILMN_1695093"	"SLC7A8"	"23428"	"14"	"ENSG00000092068"	"23125295"	"23183674"
"2457"	"ILMN_1695107"	"IL20RA"	"53832"	"6"	"ENSG00000016402"	"136999971"	"137045180"
"2458"	"ILMN_1695110"	"BCAT2"	"587"	"19"	"ENSG00000105552"	"48795062"	"48811029"
"2459"	"ILMN_1695135"	"GCM1"	"8521"	"6"	"ENSG00000137270"	"53126961"	"53148841"
"2460"	"ILMN_1695157"	"CA4"	"762"	"17"	"ENSG00000167434"	"60149942"	"60170899"
"2461"	"ILMN_1695187"	"GYPE"	"2996"	"4"	"ENSG00000197465"	"143870864"	"143905563"
"2462"	"ILMN_1695246"	"KLHDC8B"	"200942"	"3"	"ENSG00000185909"	"49171598"	"49176486"
"2463"	"ILMN_1695276"	"MAPRE2"	"10982"	"18"	"ENSG00000166974"	"34976928"	"35143470"
"2464"	"ILMN_1695280"	"SMG6"	"23293"	"17"	"ENSG00000070366"	"2059839"	"2303785"
"2465"	"ILMN_1695290"	"FERMT2"	"10979"	"14"	"ENSG00000073712"	"52857268"	"52952435"
"2466"	"ILMN_1695311"	"HLA-DMA"	"3108"	"CHR_HSCHR6_MHC_COX_CTG1"	"ENSG00000243719"	"32870929"	"32893044"
"2467"	"ILMN_1695317"	"RCBTB1"	"55213"	"13"	"ENSG00000136144"	"49531946"	"49585558"
"2468"	"ILMN_1695334"	"PYGO2"	"90780"	"1"	"ENSG00000163348"	"154957026"	"154963853"
"2469"	"ILMN_1695354"	"BMF"	"90427"	"15"	"ENSG00000104081"	"40087890"	"40108892"
"2470"	"ILMN_1695357"	"SPDL1"	"54908"	"5"	"ENSG00000040275"	"169583636"	"169604778"
"2471"	"ILMN_1695362"	"ZNF32"	"7580"	"10"	"ENSG00000169740"	"43643860"	"43648881"
"2472"	"ILMN_1695386"	"RAD51C"	"5889"	"17"	"ENSG00000108384"	"58692573"	"58735611"
"2473"	"ILMN_1695404"	"LY6E"	"4061"	"CHR_HSCHR8_4_CTG7"	"ENSG00000278032"	"143017982"	"143023832"
"2474"	"ILMN_1695414"	"ASF1B"	"55723"	"19"	"ENSG00000105011"	"14119512"	"14136613"
"2475"	"ILMN_1695418"	"IQGAP3"	"128239"	"1"	"ENSG00000183856"	"156525405"	"156572604"
"2476"	"ILMN_1695420"	"CLTA"	"1211"	"9"	"ENSG00000122705"	"36190856"	"36304781"
"2477"	"ILMN_1695423"	"CD9"	"928"	"12"	"ENSG00000010278"	"6199715"	"6238271"
"2478"	"ILMN_1695446"	"AMBP"	"259"	"9"	"ENSG00000106927"	"114060127"	"114078328"
"2479"	"ILMN_1695461"	"PTPRA"	"5786"	"20"	"ENSG00000132670"	"2864184"	"3039076"
"2480"	"ILMN_1695491"	"WDYHV1"	"55093"	"8"	"ENSG00000156795"	"123416726"	"123470028"
"2481"	"ILMN_1695549"	"NECTIN1"	"5818"	"11"	"ENSG00000110400"	"119623408"	"119729200"
"2482"	"ILMN_1695576"	"MRPL24"	"79590"	"1"	"ENSG00000143314"	"156737303"	"156741590"
"2483"	"ILMN_1695590"	"ADRB2"	"154"	"5"	"ENSG00000169252"	"148825245"	"148828687"
"2484"	"ILMN_1695604"	"DCBLD1"	"285761"	"6"	"ENSG00000164465"	"117453817"	"117569858"
"2485"	"ILMN_1695631"	"CHP2"	"63928"	"16"	"ENSG00000166869"	"23755026"	"23758935"
"2486"	"ILMN_1695645"	"CETN2"	"1069"	"X"	"ENSG00000147400"	"152826994"	"152830757"
"2487"	"ILMN_1695658"	"KIF20A"	"10112"	"5"	"ENSG00000112984"	"138178719"	"138187723"
"2488"	"ILMN_1695706"	"H3-3B"	"3021"	"17"	"ENSG00000132475"	"75776434"	"75785893"
"2489"	"ILMN_1695719"	"AGO2"	"27161"	"8"	"ENSG00000123908"	"140520156"	"140635633"
"2490"	"ILMN_1695731"	"TUBG1"	"7283"	"17"	"ENSG00000131462"	"42609683"	"42615238"
"2491"	"ILMN_1695745"	"DISP1"	"84976"	"1"	"ENSG00000154309"	"222872271"	"223005995"
"2492"	"ILMN_1695759"	""	NA	"16"	"ENSG00000259784"	"2513965"	"2527955"
"2493"	"ILMN_1695763"	"PDIA5"	"10954"	"3"	"ENSG00000065485"	"123067025"	"123225227"
"2494"	"ILMN_1695797"	"NCOA6"	"23054"	"20"	"ENSG00000198646"	"34689097"	"34825651"
"2495"	"ILMN_1695821"	"ACTR1B"	"10120"	"2"	"ENSG00000115073"	"97655939"	"97664044"
"2496"	"ILMN_1695847"	"ZKSCAN5"	"23660"	"7"	"ENSG00000196652"	"99504651"	"99534700"
"2497"	"ILMN_1695851"	"PARVG"	"64098"	"22"	"ENSG00000138964"	"44172956"	"44219533"
"2498"	"ILMN_1695853"	"CLK4"	"57396"	"5"	"ENSG00000113240"	"178602664"	"178630615"
"2499"	"ILMN_1695868"	""	NA	"6"	"ENSG00000124593"	"41780349"	"41790141"
"2500"	"ILMN_1695917"	"C5orf15"	"56951"	"5"	"ENSG00000113583"	"133955510"	"133968674"
"2501"	"ILMN_1695945"	"MEIS2"	"4212"	"15"	"ENSG00000134138"	"36889204"	"37101299"
"2502"	"ILMN_1695946"	"TRNP1"	"388610"	"1"	"ENSG00000253368"	"26993692"	"27000886"
"2503"	"ILMN_1695959"	"EVA1C"	"59271"	"21"	"ENSG00000166979"	"32412006"	"32515397"
"2504"	"ILMN_1695961"	"CLK3"	"1198"	"15"	"ENSG00000179335"	"74598500"	"74645414"
"2505"	"ILMN_1695962"	"SLC12A9"	"56996"	"7"	"ENSG00000146828"	"100826820"	"100867010"
"2506"	"ILMN_1695983"	"DDX42"	"11325"	"17"	"ENSG00000198231"	"63773603"	"63819317"
"2507"	"ILMN_1696003"	"GNAI3"	"2773"	"1"	"ENSG00000065135"	"109548615"	"109600195"
"2508"	"ILMN_1696021"	"KPNA6"	"23633"	"1"	"ENSG00000025800"	"32108056"	"32176563"
"2509"	"ILMN_1696028"	"ETNK1"	"55500"	"12"	"ENSG00000139163"	"22625075"	"22690665"
"2510"	"ILMN_1696046"	"SIVA1"	"10572"	"14"	"ENSG00000184990"	"104753147"	"104768494"
"2511"	"ILMN_1696065"	"SDF4"	"51150"	"1"	"ENSG00000078808"	"1216908"	"1232067"
